run,img_and_tape_width,img_height_and_steps,original_size,compressed_size,compression,machine_start_position,yk,gk,ye,ge,yw,gw,yp,,,,,,,,,,,,,,,,
39b9ad08-6714-11ee-b998-acde48001122,101,1,70,13,0.18571428571428572,49,"[0, 3, -1]","[1, 2, -1]","[1, 0, 1]","[0, 0, 1]","[1, 2, -1]","[0, 3, -1]","[1, 1, -1]",49,"[0, 3, -1]","[1, 2, -1]","[1, 0, 1]","[0, 0, 1]","[1, 2, -1]","[0, 3, -1]","[1, 1, -1]",49,"[0, 3, -1]","[1, 2, -1]","[1, 0, 1]","[0, 0, 1]","[1, 2, -1]","[0, 3, -1]","[1, 1, -1]"
4bb43b36-6714-11ee-bb6c-acde48001122,101,801,315,258,0.819047619,57,"[0, 0, -1]","[1, 1, 1]","[1, 2, -1]","[1, 2, 1]","[1, 2, -1]","[0, 3, -1]","[1, 3, -1]",57,"[0, 0, -1]","[1, 1, 1]","[1, 2, -1]","[1, 2, 1]","[1, 2, -1]","[0, 3, -1]","[1, 3, -1]",57,"[0, 0, -1]","[1, 1, 1]","[1, 2, -1]","[1, 2, 1]","[1, 2, -1]","[0, 3, -1]","[1, 3, -1]"
4e489ab8-6714-11ee-af6b-acde48001122,101,801,315,258,0.819047619,57,"[0, 0, -1]","[1, 2, -1]","[1, 2, 1]","[0, 1, -1]","[1, 2, 1]","[0, 2, -1]","[1, 2, -1]",57,"[0, 0, -1]","[1, 2, -1]","[1, 2, 1]","[0, 1, -1]","[1, 2, 1]","[0, 2, -1]","[1, 2, -1]",57,"[0, 0, -1]","[1, 2, -1]","[1, 2, 1]","[0, 1, -1]","[1, 2, 1]","[0, 2, -1]","[1, 2, -1]"
4ee0e1b0-6714-11ee-9788-acde48001122,101,1,77,19,0.24675324675324675,49,"[1, 3, -1]","[0, 2, -1]","[0, 1, -1]","[1, 0, 1]","[0, 0, 1]","[1, 0, 1]","[0, 1, 1]",49,"[1, 3, -1]","[0, 2, -1]","[0, 1, -1]","[1, 0, 1]","[0, 0, 1]","[1, 0, 1]","[0, 1, 1]",49,"[1, 3, -1]","[0, 2, -1]","[0, 1, -1]","[1, 0, 1]","[0, 0, 1]","[1, 0, 1]","[0, 1, 1]"
4f608c8a-6714-11ee-b27f-acde48001122,101,801,315,258,0.819047619,43,"[0, 0, 1]","[0, 3, -1]","[0, 2, -1]","[1, 3, 1]","[0, 1, -1]","[1, 1, 1]","[1, 2, 1]",43,"[0, 0, 1]","[0, 3, -1]","[0, 2, -1]","[1, 3, 1]","[0, 1, -1]","[1, 1, 1]","[1, 2, 1]",43,"[0, 0, 1]","[0, 3, -1]","[0, 2, -1]","[1, 3, 1]","[0, 1, -1]","[1, 1, 1]","[1, 2, 1]"
5014508a-6714-11ee-b470-acde48001122,101,1,77,19,0.24675324675324675,49,"[1, 2, -1]","[1, 1, 1]","[1, 2, 1]","[1, 0, -1]","[1, 3, -1]","[0, 3, -1]","[1, 2, -1]",49,"[1, 2, -1]","[1, 1, 1]","[1, 2, 1]","[1, 0, -1]","[1, 3, -1]","[0, 3, -1]","[1, 2, -1]",49,"[1, 2, -1]","[1, 1, 1]","[1, 2, 1]","[1, 0, -1]","[1, 3, -1]","[0, 3, -1]","[1, 2, -1]"
509ddcf6-6714-11ee-85b4-acde48001122,101,102,599,413,0.6894824707846411,49,"[1, 0, 1]","[1, 2, -1]","[0, 2, -1]","[0, 3, 1]","[1, 3, -1]","[1, 1, -1]","[0, 0, -1]",49,"[1, 0, 1]","[1, 2, -1]","[0, 2, -1]","[0, 3, 1]","[1, 3, -1]","[1, 1, -1]","[0, 0, -1]",49,"[1, 0, 1]","[1, 2, -1]","[0, 2, -1]","[0, 3, 1]","[1, 3, -1]","[1, 1, -1]","[0, 0, -1]"
511fe840-6714-11ee-a181-acde48001122,101,1,70,13,0.18571428571428572,51,"[0, 3, 1]","[1, 2, 1]","[0, 2, 1]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[1, 0, -1]",51,"[0, 3, 1]","[1, 2, 1]","[0, 2, 1]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[1, 0, -1]",51,"[0, 3, 1]","[1, 2, 1]","[0, 2, 1]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[1, 0, -1]"
519749f8-6714-11ee-9e0d-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 2, 1]","[0, 0, -1]","[0, 0, -1]","[0, 1, -1]","[0, 0, -1]","[1, 2, -1]","[1, 3, -1]",51,"[1, 2, 1]","[0, 0, -1]","[0, 0, -1]","[0, 1, -1]","[0, 0, -1]","[1, 2, -1]","[1, 3, -1]",51,"[1, 2, 1]","[0, 0, -1]","[0, 0, -1]","[0, 1, -1]","[0, 0, -1]","[1, 2, -1]","[1, 3, -1]"
51fbbd3e-6714-11ee-800c-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 2, 1]","[0, 2, -1]","[1, 3, -1]","[1, 0, 1]","[1, 0, -1]","[0, 1, -1]","[0, 0, 1]",51,"[1, 2, 1]","[0, 2, -1]","[1, 3, -1]","[1, 0, 1]","[1, 0, -1]","[0, 1, -1]","[0, 0, 1]",51,"[1, 2, 1]","[0, 2, -1]","[1, 3, -1]","[1, 0, 1]","[1, 0, -1]","[0, 1, -1]","[0, 0, 1]"
52600a78-6714-11ee-bce8-acde48001122,101,1,70,13,0.18571428571428572,49,"[0, 3, -1]","[0, 1, -1]","[1, 1, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, -1]",49,"[0, 3, -1]","[0, 1, -1]","[1, 1, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, -1]",49,"[0, 3, -1]","[0, 1, -1]","[1, 1, 1]","[1, 1, -1]","[1, 3, -1]","[0, 0, 1]","[0, 1, -1]"
5339024c-6714-11ee-a954-acde48001122,101,801,315,258,0.819047619,43,"[0, 0, 1]","[0, 2, 1]","[0, 0, -1]","[0, 3, -1]","[0, 3, -1]","[1, 1, 1]","[1, 2, -1]",43,"[0, 0, 1]","[0, 2, 1]","[0, 0, -1]","[0, 3, -1]","[0, 3, -1]","[1, 1, 1]","[1, 2, -1]",43,"[0, 0, 1]","[0, 2, 1]","[0, 0, -1]","[0, 3, -1]","[0, 3, -1]","[1, 1, 1]","[1, 2, -1]"
53a0b82e-6714-11ee-a9c2-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]",51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]",51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]"
